data,label,is_biased
"you must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business .","[[88, 98, 'Behavioural Stereotypes'], [63, 74, 'Behavioural Stereotypes']]",augmented
"You must be stubborn, passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [95, 105, 'Behavioural Stereotypes'], [70, 81, 'Behavioural Stereotypes']]",augmented
"you must be in care about sales , have good analytical skills and be committed to creating new business opportunities.","[[69, 79, 'Behavioural Stereotypes'], [44, 55, 'Behavioural Stereotypes']]",augmented
"employees should be stubborn, passionate about sales marketing, have strong analytical skills and be dedicated to creating new business opportunities.","[[20, 28, 'Behavioural Stereotypes'], [76, 87, 'Behavioural Stereotypes']]",augmented
You should be more passionate about sales and have strong management skills and be committed to creating new business opportunities.,"[[83, 93, 'Behavioural Stereotypes']]",augmented
"You will be stubborn, passionate about sales and have excellent analytical ability and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [90, 100, 'Behavioural Stereotypes'], [64, 75, 'Behavioural Stereotypes']]",augmented
"members will be particularly passionate about sales marketing, have strong communication skills and be committed to creating new business opportunities.","[[103, 113, 'Behavioural Stereotypes']]",augmented
"they must be highly passionate about effective marketing, have strong analytical skills and be committed to creating viable business opportunities.","[[95, 105, 'Behavioural Stereotypes'], [70, 81, 'Behavioural Stereotypes']]",augmented
"You must be highly passionate about sales marketing, have strong analytical skills and be committed to developing new business !","[[90, 100, 'Behavioural Stereotypes'], [65, 76, 'Behavioural Stereotypes']]",augmented
"employees must be self-confident, passionate about sales marketing, have strong leadership skills and be committed to creating new business opportunities.","[[18, 32, 'Behavioural Stereotypes'], [105, 115, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about business , have strong analytical skills and be committed to creating new business opportunities.","[[57, 68, 'Behavioural Stereotypes'], [82, 92, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about business , have strong analytical skills and be committed to creating new business opportunities.","[[57, 68, 'Behavioural Stereotypes'], [82, 92, 'Behavioural Stereotypes']]",augmented
"managers should be more concerned about sales marketing, have strong analytical skills and be committed to creating viable business opportunities.","[[69, 80, 'Behavioural Stereotypes'], [94, 104, 'Behavioural Stereotypes']]",augmented
"consumers should be more passionate about effective marketing, have strong analytical skills and be committed to creating new marketing opportunities.","[[75, 86, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]",augmented
"applicants should be self-confident, passionate about sales marketing, have excellent leadership skills and be committed to creating new business opportunities.","[[21, 35, 'Behavioural Stereotypes'], [111, 121, 'Behavioural Stereotypes']]",augmented
"employees will be self-confident, passionate about product . have strong analytical skills and be committed to creating new business opportunities.","[[18, 32, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [98, 108, 'Behavioural Stereotypes']]",augmented
"applicants must be highly passionate about product marketing, have strong analytical skills and be committed to creating new business opportunities.","[[74, 85, 'Behavioural Stereotypes'], [99, 109, 'Behavioural Stereotypes']]",augmented
"employees will be more passionate about sales marketing, have strong analytical capabilities and be committed to creating new business opportunities.","[[69, 80, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]",augmented
"employees must be very passionate about digital marketing, have strong management skills and be committed to creating new business opportunities.","[[96, 106, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about digital marketing, have excellent analytical skills and be committed to creating new business opportunities.","[[68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]",augmented
"managers must be self-sufficient, care about digital marketing, have strong analytical skills and be committed to creating new business opportunities.","[[17, 32, 'Behavioural Stereotypes'], [76, 87, 'Behavioural Stereotypes'], [101, 111, 'Behavioural Stereotypes']]",augmented
"You should be extremely passionate about corporate marketing, have good analytical skills and be committed to creating new business opportunities.","[[72, 83, 'Behavioural Stereotypes'], [97, 107, 'Behavioural Stereotypes']]",augmented
"managers must be self-sufficient, passionate about sales marketing, have good analytical ability and be dedicated to creating new business opportunities.","[[17, 32, 'Behavioural Stereotypes'], [78, 89, 'Behavioural Stereotypes']]",augmented
"managers must be self-sufficient, passionate about corporate and have strong analytical skills and be committed to creating new business opportunities.","[[17, 32, 'Behavioural Stereotypes'], [77, 88, 'Behavioural Stereotypes'], [102, 112, 'Behavioural Stereotypes']]",augmented
"You will be particularly passionate about sales marketing, have strong communication skills and be committed to creating new business opportunities.","[[99, 109, 'Behavioural Stereotypes']]",augmented
"they must be self-sufficient, passionate about corporate marketing, have strong analytical capabilities and be committed to developing new business opportunities.","[[13, 28, 'Behavioural Stereotypes'], [80, 91, 'Behavioural Stereotypes'], [111, 121, 'Behavioural Stereotypes']]",augmented
"You will be self-sufficient, learn about people . have strong analytical skills and be committed to creating viable business opportunities.","[[12, 27, 'Behavioural Stereotypes'], [62, 73, 'Behavioural Stereotypes'], [87, 97, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about sales marketing, have excellent analytical skills and be committed to creating new business opportunities.","[[66, 77, 'Behavioural Stereotypes'], [91, 101, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities.","[[65, 76, 'Behavioural Stereotypes'], [90, 100, 'Behavioural Stereotypes']]",augmented
"You must be taking care about sales marketing, have strong analytical skills and be committed to exploring new business opportunities.","[[59, 70, 'Behavioural Stereotypes'], [84, 94, 'Behavioural Stereotypes']]",augmented
You should be more passionate about sales and have strong analytical abilities and be committed to creating new business opportunities.,"[[58, 69, 'Behavioural Stereotypes'], [86, 96, 'Behavioural Stereotypes']]",augmented
"You must be extremely careful about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[65, 76, 'Behavioural Stereotypes'], [90, 100, 'Behavioural Stereotypes']]",augmented
"employees must be self-reliant, passionate about sales marketing, have strong analytical skills and be dedicated to creating good business ;","[[78, 89, 'Behavioural Stereotypes'], [18, 30, 'Behavioural Stereotypes']]",augmented
"they will be well know about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[58, 69, 'Behavioural Stereotypes'], [83, 93, 'Behavioural Stereotypes']]",augmented
"employees will be self-reliant, passionate about sales . have strong analytical skills and be committed to creating viable business opportunities.","[[69, 80, 'Behavioural Stereotypes'], [94, 104, 'Behavioural Stereotypes'], [18, 30, 'Behavioural Stereotypes']]",augmented
"members will be self-reliant, concerned about sales . have strong technical skills and be committed to creating new business opportunities.","[[90, 100, 'Behavioural Stereotypes'], [16, 28, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about digital , have strong analytical skills and be committed to creating new business opportunities.","[[56, 67, 'Behavioural Stereotypes'], [81, 91, 'Behavioural Stereotypes']]",augmented
"You must be forceful, passionate about digital marketing, have excellent analytical skills and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [98, 108, 'Behavioural Stereotypes']]",augmented
"managers must be forceful, passionate about sales , have strong analytical skills and be committed to creating new business opportunities.","[[17, 25, 'Behavioural Stereotypes'], [64, 75, 'Behavioural Stereotypes'], [89, 99, 'Behavioural Stereotypes']]",augmented
"You should be forceful, passionate about effective marketing, have strong analytical skills and be committed to creating new marketing opportunities.","[[14, 22, 'Behavioural Stereotypes'], [74, 85, 'Behavioural Stereotypes'], [99, 109, 'Behavioural Stereotypes']]",augmented
"members must be forceful, passionate about innovation and have excellent analytical skills and be committed to creating new business opportunities.","[[16, 24, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [98, 108, 'Behavioural Stereotypes']]",augmented
"employees should be forceful, passionate about sales marketing, have strong analytical abilities and be committed to creating new business opportunities.","[[20, 28, 'Behavioural Stereotypes'], [76, 87, 'Behavioural Stereotypes'], [104, 114, 'Behavioural Stereotypes']]",augmented
"candidates will be forceful, passionate about strategic leadership have strong analytical skills and be committed to creating new business opportunities.","[[19, 27, 'Behavioural Stereotypes'], [79, 90, 'Behavioural Stereotypes'], [104, 114, 'Behavioural Stereotypes']]",augmented
"employees : be forceful, care about sales ; have strong analytical skills and be committed to creating new business opportunities.","[[15, 23, 'Behavioural Stereotypes'], [56, 67, 'Behavioural Stereotypes'], [81, 91, 'Behavioural Stereotypes']]",augmented
"companies can be forceful, enthusiastic about sales to have strong analytical skills and be committed to creating new business opportunities.","[[17, 25, 'Behavioural Stereotypes'], [67, 78, 'Behavioural Stereotypes'], [92, 102, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about sales marketing, have strong management skills and be committed to creating new business opportunities.","[[88, 98, 'Behavioural Stereotypes']]",augmented
"employees must be individualistic, care about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[18, 33, 'Behavioural Stereotypes'], [75, 86, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]",augmented
"managers must be individualistic, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[17, 32, 'Behavioural Stereotypes'], [80, 91, 'Behavioural Stereotypes'], [105, 115, 'Behavioural Stereotypes']]",augmented
individuals should be more passionate about entrepreneurship and have strong analytical skills and be committed to creating new business opportunities.,"[[77, 88, 'Behavioural Stereotypes'], [102, 112, 'Behavioural Stereotypes']]",augmented
"employees must be individualistic, care about sales and have strong analytical skills and be committed to exploring new business ;","[[18, 33, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]",augmented
"managers must be individualistic, passionate about sales and have strong analytical abilities and be committed to creating new business opportunities.","[[17, 32, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [101, 111, 'Behavioural Stereotypes']]",augmented
"You will be individualistic, passionate about growth . have strong analytical skills and be committed to creating new business opportunities.","[[12, 27, 'Behavioural Stereotypes'], [67, 78, 'Behavioural Stereotypes'], [92, 102, 'Behavioural Stereotypes']]",augmented
"members will be individualistic, passionate about sales marketing, have strong analytical skills and be committed to creating sustainable business opportunities.","[[16, 31, 'Behavioural Stereotypes'], [79, 90, 'Behavioural Stereotypes'], [104, 114, 'Behavioural Stereotypes']]",augmented
"applicants will be highly passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[72, 83, 'Behavioural Stereotypes'], [97, 107, 'Behavioural Stereotypes']]",augmented
"managers must be decisive, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[17, 25, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [98, 108, 'Behavioural Stereotypes']]",augmented
"managers must be decisive, passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities.","[[17, 25, 'Behavioural Stereotypes'], [75, 86, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]",augmented
"You must be very passionate about digital marketing, have excellent analytical skills and be committed to creating new business opportunities.","[[68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]",augmented
"companies should be decisive, passionate about sales marketing, have strong analytical ability and be committed to creating new business opportunities.","[[20, 28, 'Behavioural Stereotypes'], [76, 87, 'Behavioural Stereotypes'], [102, 112, 'Behavioural Stereotypes']]",augmented
"employees should be decisive, think about sales marketing, have strong analytical skills and be committed to creating new job opportunities.","[[20, 28, 'Behavioural Stereotypes'], [71, 82, 'Behavioural Stereotypes'], [96, 106, 'Behavioural Stereotypes']]",augmented
"employees must be extremely passionate about digital marketing, have excellent analytical abilities and be committed to creating new business opportunities.","[[79, 90, 'Behavioural Stereotypes'], [107, 117, 'Behavioural Stereotypes']]",augmented
"companies can be decisive, care about sales marketing, have strong communication skills and be committed to creating new marketing opportunities.","[[17, 25, 'Behavioural Stereotypes'], [95, 105, 'Behavioural Stereotypes']]",augmented
"they must be decisive, passionate about effective marketing, have strong analytical skills and be committed to creating innovative business opportunities.","[[13, 21, 'Behavioural Stereotypes'], [73, 84, 'Behavioural Stereotypes'], [98, 108, 'Behavioural Stereotypes']]",augmented
"You will be decisive, passionate about effective marketing, have strong communication skills and be committed to creating new market opportunities.","[[12, 20, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]",augmented
"employees must be submissive, care about sales marketing, have good analytical skills and be committed to creating new business opportunities.","[[93, 103, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [18, 28, 'Behavioural Stereotypes']]",augmented
"managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[93, 103, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes']]",augmented
"managers must be submissive, think about effective marketing, have strong analytical skills and be committed to creating new business opportunities.","[[99, 109, 'Behavioural Stereotypes'], [74, 85, 'Behavioural Stereotypes'], [17, 27, 'Behavioural Stereotypes']]",augmented
"employees must be submissive, passionate about sales and have strong management skills and be committed to creating new business opportunities.","[[94, 104, 'Behavioural Stereotypes'], [18, 28, 'Behavioural Stereotypes']]",augmented
"you must be extremely passionate about corporate marketing, have strong analytical skills and be committed to creating good business opportunities.","[[97, 107, 'Behavioural Stereotypes'], [72, 83, 'Behavioural Stereotypes']]",augmented
"managers must be submissive, think about sales and have strong analytical abilities and be committed to creating new business opportunities.","[[91, 101, 'Behavioural Stereotypes'], [63, 74, 'Behavioural Stereotypes'], [17, 27, 'Behavioural Stereotypes']]",augmented
"applicants must be submissive, learn about sales marketing, have strong analytical ability and be committed to creating sustainable business opportunities.","[[98, 108, 'Behavioural Stereotypes'], [72, 83, 'Behavioural Stereotypes'], [19, 29, 'Behavioural Stereotypes']]",augmented
"applicants will be submissive, passionate about sales ; have strong analytical skills and be committed to creating new business opportunities.","[[93, 103, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [19, 29, 'Behavioural Stereotypes']]",augmented
"customers must be submissive, passionate about sales marketing, have strong communication skills and be committed to creating new sales opportunities.","[[104, 114, 'Behavioural Stereotypes'], [18, 28, 'Behavioural Stereotypes']]",augmented
"managers must be implusive, passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities.","[[17, 26, 'Behavioural Stereotypes'], [76, 87, 'Behavioural Stereotypes'], [101, 111, 'Behavioural Stereotypes']]",augmented
"employees must be very passionate about sales marketing, have strong analytical skills and be committed to exploring new business opportunities.","[[69, 80, 'Behavioural Stereotypes'], [94, 104, 'Behavioural Stereotypes']]",augmented
"you must be very passionate about digital marketing, have strong analytical skills and be committed to exploring new business opportunities.","[[65, 76, 'Behavioural Stereotypes'], [90, 100, 'Behavioural Stereotypes']]",augmented
"managers must be implusive, passionate about sales and have strong analytical skills and be committed to creating new business opportunities.","[[17, 26, 'Behavioural Stereotypes'], [67, 78, 'Behavioural Stereotypes'], [92, 102, 'Behavioural Stereotypes']]",augmented
"managers should be implusive, passionate about sales and have strong analytical abilities and be committed to creating new business opportunities.","[[19, 28, 'Behavioural Stereotypes'], [69, 80, 'Behavioural Stereotypes'], [97, 107, 'Behavioural Stereotypes']]",augmented
"companies should be more passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[71, 82, 'Behavioural Stereotypes'], [96, 106, 'Behavioural Stereotypes']]",augmented
"You must be implusive, passionate about sales . have strong analytical ability and be committed to creating new business opportunities.","[[12, 21, 'Behavioural Stereotypes'], [60, 71, 'Behavioural Stereotypes'], [86, 96, 'Behavioural Stereotypes']]",augmented
"You will be implusive, serious about product marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 21, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]",augmented
"You must be taken care about sales marketing, have strong analytical skills and be committed to creating new businesses !","[[58, 69, 'Behavioural Stereotypes'], [83, 93, 'Behavioural Stereotypes']]",augmented
is looking for a stubborn Business Development team (Sales) to actively seek out different resellers in San francisco .,"[[17, 26, 'Behavioural Stereotypes']]",augmented
or waiting for a stubborn Business development firm (Sales) to actively try out different resellers in San Francisco area.,"[[17, 26, 'Behavioural Stereotypes']]",augmented
We're looking for a stubborn software Development company (Sales) to actively help out different resellers in San Francisco area.,"[[20, 29, 'Behavioural Stereotypes']]",augmented
We're looking for a self-confident business and Representative (Sales) to actively seek out new resellers in San Francisco area.,"[[20, 34, 'Behavioural Stereotypes']]",augmented
and call for a self-confident Business Development team (Sales) to actively seek out different resellers in San Francisco ;,"[[15, 29, 'Behavioural Stereotypes']]",augmented
are ideal for a self-confident brand development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[16, 30, 'Behavioural Stereotypes']]",augmented
is looking for a self-sufficient business development team (Sales) to actively seek out different resellers in San Francisco area.,"[[17, 32, 'Behavioural Stereotypes']]",augmented
We're looking for a self-sufficient product Development Representative willing to actively try out different resellers in San Francisco area.,"[[20, 35, 'Behavioural Stereotypes']]",augmented
We're hoping for a self-sufficient Business Development model - to actively seek out different resellers in San Francisco !,"[[19, 34, 'Behavioural Stereotypes']]",augmented
We're looking for a self-reliant business - model (Sales) to help bring out different resellers in San Francisco area.,"[[20, 32, 'Behavioural Stereotypes']]",augmented
currently working for a self-reliant application Development platform (Sales) to actively seek out different resellers in San Francisco area.,"[[24, 36, 'Behavioural Stereotypes']]",augmented
are available for a self-reliant Business Development Representative (Sales) to : seek out different clients in San Francisco area.,"[[20, 32, 'Behavioural Stereotypes']]",augmented
is looking for a forceful business development Representative (Sales) to help seek out different resellers in San Francisco area.,"[[17, 26, 'Behavioural Stereotypes']]",augmented
by looking for a forceful product Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[17, 26, 'Behavioural Stereotypes']]",augmented
We're waiting for a forceful manager and Representative (Sales) to actively seek out potential resellers in San Francisco !,"[[20, 29, 'Behavioural Stereotypes']]",augmented
is looking for a individualistic Business Development Representative and to actively seek out different companies in San Francisco area.,"[[17, 33, 'Behavioural Stereotypes']]",augmented
or working for a individualistic product Development Representative (Sales) to actively seek out different resellers in the Francisco area.,"[[17, 33, 'Behavioural Stereotypes']]",augmented
also looking for a individualistic Business Development Representative (Sales) to actively try out different resellers in San jose area.,"[[19, 35, 'Behavioural Stereotypes']]",augmented
"is looking for a decisive product Development Representative , to help seek out different resellers in San Francisco area.","[[17, 26, 'Behavioural Stereotypes']]",augmented
and call for a decisive product Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[15, 24, 'Behavioural Stereotypes']]",augmented
We're looking for a decisive economic policy Representative willing to actively seek out different opportunities in San Francisco area.,"[[20, 29, 'Behavioural Stereotypes']]",augmented
We're looking for a submissive business development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 31, 'Behavioural Stereotypes']]",augmented
"and looking for a submissive business Development , willing to actively seek out different resellers in San Francisco area.","[[18, 29, 'Behavioural Stereotypes']]",augmented
We're looking for a submissive software development Representative (Sales) to actively seek out different clients in San Francisco !,"[[20, 31, 'Behavioural Stereotypes']]",augmented
is looking for a implusive agent and Representative (Sales) to actively seek out different resellers in San Francisco .,"[[17, 27, 'Behavioural Stereotypes']]",augmented
or waiting for a implusive product Development Representative (Sales) to actively seek out different resellers in San diego area.,"[[17, 27, 'Behavioural Stereotypes']]",augmented
is allows for a implusive software Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[16, 26, 'Behavioural Stereotypes']]",augmented
order administration: Responsible for order management and CRM management.,"[[22, 34, 'Behavioural Stereotypes']]",augmented
he is Responsible for order fulfillment and processing ;,"[[6, 18, 'Behavioural Stereotypes']]",augmented
customer : Responsible for contract fulfillment and CRM management.,"[[11, 23, 'Behavioural Stereotypes']]",augmented
"as an Engineer at microsoft you'll be responsible for building world-class, high-performance developer tools used by our customers every .","[[38, 50, 'Behavioural Stereotypes']]",augmented
"being an executive at Runscope you'll be responsible for all world-class, high-performance design tools used by our customers every day.","[[41, 53, 'Behavioural Stereotypes']]",augmented
As an executive at ibm you'll be responsible for building many high-performance computer tools used by our customers every day.,"[[33, 45, 'Behavioural Stereotypes']]",augmented
Responsible for proper and efficient use of machine .,"[[0, 12, 'Behavioural Stereotypes']]",augmented
Responsible for efficient and safe use of hand ;,"[[0, 12, 'Behavioural Stereotypes']]",augmented
Responsible for safe and fair distribution of the tools.,"[[0, 12, 'Behavioural Stereotypes']]",augmented
"As a business person you will be responsible for providing information, advice and booking services for people wishing to .","[[33, 45, 'Behavioural Stereotypes']]",augmented
As a tourism consultant you will be responsible for giving business advice and booking services for people wishing to travel.,"[[36, 48, 'Behavioural Stereotypes']]",augmented
for a travelling consultant you will be responsible for providing expert advice and booking options for people wishing to travel.,"[[40, 52, 'Behavioural Stereotypes']]",augmented
"is looking for a Translation Specialist to lead the development of our apps, website, and marketing content, while maintaining Tinybop’s unique voice, and tone.","[[43, 48, 'Behavioural Stereotypes']]",augmented
"while working for a Translation company to lead the design of our apps, website, and marketing campaigns while maintaining Tinybop’s brand, voice, and tone.","[[43, 48, 'Behavioural Stereotypes']]",augmented
"and call for a technical Specialist to lead the localization of our apps, website, and marketing campaigns while maintaining Tinybop’s brand, voice, and tone.","[[39, 44, 'Behavioural Stereotypes']]",augmented
a young entrepreneur in financial technology space is looking for a lead web developer / CTO in helping to launch our next generation Web platform.,"[[68, 73, 'Behavioural Stereotypes']]",augmented
